Function,Dims,Model,Run,MSE,MAE,R2,RMSE,train_time,n_params,expression,best_generation,best_fitness
rastrigin,2,GA-OBN (v1),2,0.015393038213733194,0.10029906681514504,0.5494206631173727,0.12406868345288909,8.46956181526184,20,0.090*sin(3.880*x1 + 8.510*x2) * 0.580*cos(-2.050*x1 + 8.740*x2) * -0.980*cos(6.000*x1 + 9.260*x2) + 0.290*(x1^2.490 + x2^1.900) + 0.260,297,2.2201131724932175
rastrigin,2,GA-OBN (v1),3,0.014901342276174758,0.09764505992975675,0.563813405239932,0.12207105421095846,8.504194021224976,20,0.310*(x1^3.810 + x2^1.600) + -0.610*cos(2.990*x1 + 2.240*x2) * -0.680*sin(-6.460*x1 + -7.480*x2) * 0.190*sin(4.750*x1 + 9.800*x2) + 0.280,296,2.167090398565376
rastrigin,2,GA-OBN (v1),4,0.014450061492114197,0.0970093555740328,0.5770231298963983,0.12020840857491707,12.448435068130493,20,0.620*sin(6.920*x1 + -6.970*x2) * -0.050*cos(5.510*x1 + 4.280*x2) + 0.960*(x1^1.540 + x2^1.600) + -0.650*(x1^1.640 + x2^2.130) + 0.250,298,2.2025513642158994
rastrigin,2,GA-OBN (v2),0,0.014365050718396449,0.09623919316630941,0.5795115339085086,0.11985428952856235,9.611639022827148,20,-0.480*(x1^0.110 + x2^9.930) * 0.510*sin(-3.080*x1 + 2.970*x2) * -0.350*sin(3.140*x1 + 3.050*x2) + 0.360*(x1^0.650 + x2^2.850) + 0.140,289,2.230520105427489
rastrigin,2,GA-OBN (v2),1,0.014363280304271475,0.09558261890301616,0.5795633568177591,0.11984690360735847,11.444944858551025,20,-0.060*(x1^9.970 + x2^0.020) + 0.240*(x1^2.540 + x2^1.250) + 0.370*(x1^0.770 + x2^2.490) * 0.130*(x1^2.340 + x2^0.090) + 0.290,283,2.20377611928903
rastrigin,2,GA-OBN (v2),2,0.015172915268848145,0.0986343197744015,0.5558640207678766,0.1231783879941938,8.44005799293518,20,0.470*sin(-3.620*x1 + -2.460*x2) * 0.200*sin(5.140*x1 + -6.370*x2) * 0.990*cos(-2.630*x1 + -8.880*x2) + 0.270*(x1^2.730 + x2^1.810) + 0.280,296,2.2658794459463985
rastrigin,2,GA-OBN (v2),3,0.01582519325022913,0.10275153215558622,0.5367707802891015,0.12579822435244914,8.275132179260254,20,0.330*cos(0.970*x1 + -1.780*x2) * -0.650*cos(3.840*x1 + 3.830*x2) * 0.620*cos(-2.350*x1 + -2.330*x2) + 0.190*(x1^2.380 + x2^2.450) + 0.350,298,2.05034658044159
rastrigin,2,GA-OBN (v2),4,0.013943468008301511,0.09498092962319142,0.591851947497964,0.11808246274659719,10.871153831481934,20,0.960*(x1^10.000 + x2^10.000) * -0.310*cos(0.810*x1 + -0.120*x2) * 0.840*(x1^10.000 + x2^10.000) + 0.400*(x1^3.400 + x2^2.730) + 0.280,299,2.2532515561502553
rastrigin,2,MLP-ReLU,0,0.014421102490389028,0.09659675290582324,0.5778708071133929,0.12008789485368218,19.428703784942627,641,,-1,
rastrigin,2,MLP-ReLU,1,0.014846863982862916,0.09739509576835075,0.5654080737474815,0.12184770815597196,19.30476212501526,641,,-1,
